station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal,,,
40900,Howard,1/1/2001,"6,233.90","3,814.50","2,408.60","164,447",,Row Labels,Sum of monthtotal
41190,Jarvis,1/1/2001,"1,489.10","1,054",718,"40,567",,1/1/2001,12286897
40100,Morse,1/1/2001,"4,412.50","3,064.50","2,087.80","119,772",,2/1/2001,11415793
41300,Loyola,1/1/2001,"4,664.50","3,156","1,952.80","125,008",,3/1/2001,12914296
40760,Granville,1/1/2001,"3,109.80","2,126","1,453.80","84,189",,4/1/2001,12287737
40880,Thorndale,1/1/2001,"2,977.70","1,840.30","1,262.60","79,184",,5/1/2001,13148263
41380,Bryn Mawr,1/1/2001,"4,425.40","2,708.30","1,881.20","117,597",,6/1/2001,13016951
40340,Berwyn,1/1/2001,"3,329.60","2,050.80","1,445.60","88,683",,7/1/2001,13382993
41200,Argyle,1/1/2001,"2,745.50","1,874.50","1,268.20","74,240",,8/1/2001,13374592
40770,Lawrence,1/1/2001,"2,689.60","1,869","1,227.80","72,786",,9/1/2001,12314751
40540,Wilson,1/1/2001,"4,968.10","3,069","1,903.80","131,094",,10/1/2001,13916090
40080,Sheridan,1/1/2001,"4,455.90","2,625.80","1,685.20","116,958",,11/1/2001,12476056
41420,Addison-North Main,1/1/2001,"4,805.50","2,893.50","1,900.20","126,797",,12/1/2001,11205083
41320,Belmont-North Main,1/1/2001,"9,075.50","6,860.50","4,241.40","248,310",,1/1/2002,12309991
41220,Fullerton,1/1/2001,"10,121","5,239.80","3,116.20","259,203",,2/1/2002,11506712
40650,North/Clybourn,1/1/2001,"3,525.60","2,674.50","1,772.80","97,126",,3/1/2002,12183410
40630,Clark/Division,1/1/2001,"6,501.50","4,726.50","3,209","177,985",,4/1/2002,12815884
41450,Chicago/State,1/1/2001,"12,311","9,184.30","5,658.60","335,872",,5/1/2002,12973404
40330,Grand/State,1/1/2001,"8,378.50","5,428","3,504.80","223,562",,6/1/2002,12714364
41660,Lake/State,1/1/2001,"13,360.80","5,721.80","3,575.80","334,704",,7/1/2002,13392822
40500,Washington/State,1/1/2001,"6,805.10","2,730.50","1,386.60","167,567",,8/1/2002,13036551
41090,Monroe/State,1/1/2001,"7,123","2,439.30","1,269.20","172,809",,9/1/2002,13078121
40560,Jackson/State,1/1/2001,"11,340.20","3,649","1,877.60","273,468",,10/1/2002,14374766
41490,Harrison,1/1/2001,"2,384.70","1,208.30",715.4,"60,874",,11/1/2002,12434841
41400,Roosevelt,1/1/2001,"5,510.80","3,170.30","2,052","144,179",,12/1/2002,11543686
41000,Cermak-Chinatown,1/1/2001,"2,396.30","2,349.80","2,066.60","72,450",,1/1/2003,11860130
40190,Sox-35th-Dan Ryan,1/1/2001,"3,431.90","2,124.30","1,491.60","91,457",,2/1/2003,11203581
41230,47th-Dan Ryan,1/1/2001,"2,297.60","1,594.30","1,121.20","62,530",,3/1/2003,12341355
41170,Garfield-Dan Ryan,1/1/2001,"4,510.20","3,181.50","1,879.40","121,347",,4/1/2003,12391027
40910,63rd-Dan Ryan,1/1/2001,"3,631.50","2,414.80","1,817.80","98,640",,5/1/2003,12602473
40990,69th,1/1/2001,"6,818.60","4,519.80","2,901","182,594",,6/1/2003,12715662
40240,79th,1/1/2001,"7,406.70","4,689.50","3,187.60","197,643",,7/1/2003,13376266
41430,87th,1/1/2001,"5,341.10","3,239.30","2,031.60","140,619",,8/1/2003,12687510
40450,95th/Dan Ryan,1/1/2001,"14,162.60","7,472.80","4,914.40","366,040",,9/1/2003,13328526
41050,Linden,1/1/2001,"1,075.20",413.3,219.8,"26,407",,10/1/2003,14448488
41250,Central-Evanston,1/1/2001,942.6,449.8,242.4,"23,749",,11/1/2003,11813039
40400,Noyes,1/1/2001,552.4,404.3,184,"14,689",,12/1/2003,11551523
40520,Foster,1/1/2001,687.9,424,221.4,"17,937",,1/1/2004,11309196
40050,Davis,1/1/2001,"3,564.80","2,541.50","1,313.80","95,161",,2/1/2004,11347503
40690,Dempster,1/1/2001,649,415.8,260.6,"17,244",,3/1/2004,12773186
40270,Main,1/1/2001,"1,213",664,355.4,"31,118",,4/1/2004,12333972
40840,South Boulevard,1/1/2001,851.1,411.3,225.2,"21,495",,5/1/2004,12067329
40140,Skokie,1/1/2001,"2,521.50",0,0,"55,472",,6/1/2004,12968602
40890,O'Hare Airport,1/1/2001,"7,907.70","5,913.30","6,097.80","228,112",,7/1/2004,12849068
40820,Rosemont,1/1/2001,"5,162.30","1,866","1,108.80","126,579",,8/1/2004,12529356
40230,Cumberland,1/1/2001,"4,729.20","1,516.30",989.4,"115,054",,9/1/2004,13107556
40750,Harlem-O'Hare,1/1/2001,"2,657","1,015.80",603.6,"65,534",,10/1/2004,13384825
41280,Jefferson Park,1/1/2001,"6,619","2,717.50","1,754","165,259",,11/1/2004,12271717
41330,Montrose-O'Hare,1/1/2001,"1,903.10",722,473.2,"47,122",,12/1/2004,11370102
40550,Irving Park-O'Hare,1/1/2001,"3,724.10","1,671.50","1,079.40","94,013",,1/1/2005,11581403
41240,Addison-O'Hare,1/1/2001,"2,391",790,472.4,"58,124",,2/1/2005,11401625
40060,Belmont-O'Hare,1/1/2001,"4,548.60","2,275.50","1,528","116,812",,3/1/2005,12659665
41020,Logan Square,1/1/2001,"4,631.60","2,231","1,396.80","117,803",,4/1/2005,12755659
40570,California/Milwaukee,1/1/2001,"2,838.60","1,406.80",819.8,"72,176",,5/1/2005,12964006
40670,Western/Milwaukee,1/1/2001,"2,875.50","1,293",792.6,"72,395",,6/1/2005,13498294
40590,Damen/Milwaukee,1/1/2001,"4,115.90","1,846","1,134","103,604",,7/1/2005,13139642
40320,Division/Milwaukee,1/1/2001,"4,362","1,952.30","1,225.40","109,899",,8/1/2005,13538824
41410,Chicago/Milwaukee,1/1/2001,"2,109.80",662,376.2,"50,945",,9/1/2005,14194677
40490,Grand/Milwaukee,1/1/2001,"1,138",499.5,294.4,"28,505",,10/1/2005,14336020
40370,Washington/Dearborn,1/1/2001,"8,579.60","2,215.50","1,201.20","203,619",,11/1/2005,12938006
40790,Monroe/Dearborn,1/1/2001,"5,668","1,041.80",540.8,"131,567",,12/1/2005,11979336
40070,Jackson/Dearborn,1/1/2001,"7,105.50","1,856",926.6,"168,377",,1/1/2006,12407347
41340,LaSalle,1/1/2001,"2,152.50",342.3,183.8,"49,643",,2/1/2006,11889136
40430,Clinton-Forest Park,1/1/2001,"2,360.90",790.5,603.2,"58,118",,3/1/2006,13710273
40350,UIC-Halsted,1/1/2001,"4,018.30",886.5,481.8,"94,358",,4/1/2006,12951806
40470,Racine,1/1/2001,"2,136.30",805.5,372.8,"52,085",,5/1/2006,14089195
40810,Medical Center,1/1/2001,"1,919.10","1,016.80",633.8,"49,457",,6/1/2006,14001407
40220,Western-Forest Park,1/1/2001,937.5,664.3,387.6,"25,221",,7/1/2006,14148715
40250,Kedzie-Homan-Forest Park,1/1/2001,"1,257.90",841.8,537.6,"33,728",,8/1/2006,14444081
40920,Pulaski-Forest Park,1/1/2001,"1,187.70",870.3,574.8,"32,484",,9/1/2006,14264352
40970,Cicero-Forest Park,1/1/2001,"1,004",742,459.2,"27,352",,10/1/2006,14747955
40010,Austin-Forest Park,1/1/2001,"1,480.80",661.5,394,"37,193",,11/1/2006,13317975
40180,Oak Park-Forest Park,1/1/2001,"1,384.10",397.5,210.2,"33,092",,12/1/2006,11993989
40980,Harlem-Forest Park,1/1/2001,785.7,377,233.4,"19,961",,1/1/2007,12617830
40390,Forest Park,1/1/2001,"3,516.40","1,220.50",736.8,"85,926",,2/1/2007,11366892
41030,Polk,1/1/2001,"2,379.70",7.3,0,"52,383",,3/1/2007,13445416
40830,18th,1/1/2001,967.3,5,0,"21,301",,4/1/2007,12574531
40210,Damen-Cermak,1/1/2001,657.9,0.8,0,"14,477",,5/1/2007,13647689
40740,Western-Cermak,1/1/2001,523.9,1.3,0,"11,530",,6/1/2007,13698349
40440,California-Cermak,1/1/2001,779.7,1,0,"17,157",,7/1/2007,14046147
41040,Kedzie-Cermak,1/1/2001,444.9,0.3,0,"9,789",,8/1/2007,14035867
40780,Central Park,1/1/2001,453,2.3,0,"9,974",,9/1/2007,13603498
40150,Pulaski-Cermak,1/1/2001,459.3,2.3,0,"10,114",,10/1/2007,14710126
40600,Kostner,1/1/2001,303.2,0.5,0,"6,673",,11/1/2007,12796204
40420,Cicero-Cermak,1/1/2001,845.6,4.5,0,"18,621",,12/1/2007,11360696
40580,54th/Cermak,1/1/2001,"1,547.30",4,0,"34,057",,1/1/2008,12329732
40020,Harlem-Lake,1/1/2001,"3,269.70","1,637",825.6,"82,609",,2/1/2008,12410563
41350,Oak Park-Lake,1/1/2001,"1,362.50",480.8,285.8,"33,326",,3/1/2008,12916861
40610,Ridgeland,1/1/2001,"1,247.20",369.3,184.2,"29,837",,4/1/2008,13837585
41260,Austin-Lake,1/1/2001,"1,972.50",927.8,513.2,"49,673",,5/1/2008,13944972
40280,Central-Lake,1/1/2001,"2,224.30","1,295.50",786,"58,047",,6/1/2008,14077655
40700,Laramie,1/1/2001,"1,296.80",659.5,373.8,"33,036",,7/1/2008,14898685
40480,Cicero-Lake,1/1/2001,"1,291.30",712.8,463.2,"33,576",,8/1/2008,14702332
40030,Pulaski-Lake,1/1/2001,"1,509.80",884.3,561,"39,558",,9/1/2008,14780937
41070,Kedzie-Lake,1/1/2001,"1,168.90",626,404,"30,240",,10/1/2008,15822528
41360,California-Lake,1/1/2001,756.8,380.8,255.4,"19,449",,11/1/2008,13156204
40170,Ashland-Lake,1/1/2001,"1,408.40",538.5,330.2,"34,790",,12/1/2008,12412709
41160,Clinton-Lake,1/1/2001,"1,816",405.8,253,"42,841",,1/1/2009,12670605
41120,35-Bronzeville-IIT,1/1/2001,"1,743.80",912.5,576,"44,893",,2/1/2009,12495760
40300,Indiana,1/1/2001,568.8,317.5,224.8,"14,908",,3/1/2009,13906626
41270,43rd,1/1/2001,764.4,430,267,"19,871",,4/1/2009,13884272
